File Name,Total Queries,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%)
CollisionPhysics.sb,3118,43.52,64.66,70.91,73.8,74.05
17_Circle.sb,44,31.82,72.73,81.82,81.82,81.82
Bricks.sb,1270,43.31,63.15,71.5,76.77,78.9
24_Event.sb,43,39.53,69.77,74.42,83.72,83.72
Grid.sb,74,35.14,62.16,70.27,78.38,78.38
Sokoban.sb,10189,33.74,59.38,65.05,71.5,71.9
27_FlickrRepeat.sb,32,56.25,71.88,71.88,71.88,71.88
10_GraphicWindow.sb,5,0.0,40.0,60.0,80.0,100.0
26_Flickr.sb,38,39.47,76.32,81.58,81.58,81.58
22_ArrayIndex.sb,90,15.56,46.67,60.0,74.44,81.11
06_Goto.sb,52,36.54,63.46,71.15,76.92,82.69
21_Array.sb,58,37.93,68.97,72.41,74.14,74.14
12_DrawLine.sb,34,35.29,70.59,76.47,76.47,76.47
14_LineThickness.sb,49,28.57,73.47,83.67,83.67,83.67
15_Rectangle.sb,44,31.82,72.73,81.82,81.82,81.82
08_ForStep.sb,18,44.44,77.78,77.78,77.78,77.78
04_Temperature.sb,32,37.5,59.38,68.75,71.88,78.12
25_Events.sb,62,32.26,67.74,77.42,87.1,87.1
07_For.sb,15,60.0,73.33,73.33,73.33,73.33
13_LineColor.sb,44,31.82,72.73,81.82,81.82,81.82
GridAnimation.sb,117,39.32,63.25,70.09,76.92,76.92
Tetris.sb,3076,44.18,68.24,73.31,76.43,77.15
02_FontYellowColor.sb,11,27.27,81.82,90.91,90.91,90.91
19_Fractal.sb,103,55.34,76.7,79.61,82.52,82.52
03_Variables.sb,21,33.33,61.9,71.43,76.19,85.71
05_If.sb,36,33.33,61.11,66.67,69.44,75.0
20_Subroutine.sb,40,32.5,62.5,75.0,80.0,87.5
16_Ellipse.sb,44,31.82,72.73,81.82,81.82,81.82
23_MultiDimArray.sb,95,14.74,50.53,54.74,69.47,70.53
09_While.sb,24,58.33,66.67,75.0,79.17,79.17
18_Random.sb,54,37.04,72.22,77.78,85.19,85.19
01_HelloWorld.sb,6,33.33,66.67,66.67,66.67,83.33
11_GraphicWindowConfig.sb,25,8.0,72.0,92.0,100.0,100.0
