File Name,Total Queries,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%)
CollisionPhysics.sb,3158,48.92,77.55,88.89,97.5,100.0
17_Circle.sb,44,45.45,86.36,100.0,100.0,100.0
Bricks.sb,1315,45.1,71.18,81.52,95.13,99.92
24_Event.sb,43,44.19,79.07,90.7,100.0,100.0
Grid.sb,74,40.54,70.27,81.08,97.3,100.0
Sokoban.sb,10256,42.73,77.28,87.55,98.08,100.0
27_FlickrRepeat.sb,32,65.62,84.38,93.75,93.75,100.0
10_GraphicWindow.sb,5,0.0,40.0,60.0,100.0,100.0
26_Flickr.sb,38,47.37,89.47,100.0,100.0,100.0
22_ArrayIndex.sb,90,21.11,58.89,78.89,88.89,100.0
06_Goto.sb,52,38.46,73.08,78.85,94.23,100.0
21_Array.sb,58,39.66,79.31,93.1,93.1,100.0
12_DrawLine.sb,34,52.94,88.24,100.0,100.0,100.0
14_LineThickness.sb,49,40.82,85.71,100.0,100.0,100.0
15_Rectangle.sb,44,45.45,86.36,100.0,100.0,100.0
08_ForStep.sb,18,38.89,72.22,72.22,88.89,100.0
04_Temperature.sb,32,37.5,62.5,78.12,84.38,100.0
25_Events.sb,62,35.48,72.58,87.1,98.39,100.0
07_For.sb,15,53.33,73.33,86.67,86.67,100.0
13_LineColor.sb,44,45.45,86.36,100.0,100.0,100.0
GridAnimation.sb,117,44.44,71.79,82.05,96.58,100.0
Tetris.sb,3192,46.21,79.76,87.84,96.96,99.94
02_FontYellowColor.sb,11,27.27,81.82,100.0,100.0,100.0
19_Fractal.sb,103,56.31,84.47,94.17,98.06,100.0
03_Variables.sb,21,33.33,66.67,80.95,90.48,100.0
05_If.sb,36,27.78,66.67,72.22,88.89,100.0
20_Subroutine.sb,40,32.5,65.0,87.5,92.5,100.0
16_Ellipse.sb,44,45.45,86.36,100.0,100.0,100.0
23_MultiDimArray.sb,95,29.47,75.79,82.11,97.89,100.0
09_While.sb,24,50.0,70.83,83.33,95.83,100.0
18_Random.sb,54,40.74,75.93,88.89,96.3,100.0
01_HelloWorld.sb,6,33.33,66.67,83.33,100.0,100.0
11_GraphicWindowConfig.sb,25,8.0,72.0,92.0,96.0,100.0
