Rank,Count,Share (%),Cumulative (%)
1,9812,51.74,51.74
2,4224,22.27,74.02
3,1741,9.18,83.2
4,700,3.69,86.89
5,800,4.22,91.11
6,691,3.64,94.75
7,378,1.99,96.75
8,173,0.91,97.66
9,144,0.76,98.42
10,66,0.35,98.77
11,55,0.29,99.06
12,46,0.24,99.3
13,40,0.21,99.51
14,8,0.04,99.55
15,26,0.14,99.69
16,9,0.05,99.74
17,5,0.03,99.76
18,6,0.03,99.79
19,10,0.05,99.85
20,3,0.02,99.86
Out,26,0.14,-
