Rank,Count,Share (%),Cumulative (%)
1,10086,53.19,53.19
2,4233,22.32,75.51
3,1681,8.86,84.37
4,739,3.9,88.27
5,743,3.92,92.19
6,564,2.97,95.16
7,425,2.24,97.41
8,158,0.83,98.24
9,124,0.65,98.89
10,62,0.33,99.22
11,60,0.32,99.54
12,49,0.26,99.79
13,11,0.06,99.85
14,11,0.06,99.91
15,6,0.03,99.94
16,1,0.01,99.95
17,8,0.04,99.99
18,0,0.0,99.99
19,1,0.01,99.99
20,1,0.01,100.0
Out,0,0.0,-
