File Name,Total Queries,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%)
01_HelloWorld.sb,6,33.33,66.67,100.0,100.0,100.0
02_FontYellowColor.sb,11,36.36,90.91,100.0,100.0,100.0
03_Variables.sb,21,33.33,66.67,90.48,90.48,100.0
04_Temperature.sb,32,37.5,62.5,84.38,87.5,100.0
05_If.sb,36,27.78,66.67,72.22,83.33,100.0
06_Goto.sb,52,36.54,73.08,82.69,90.38,100.0
07_For.sb,15,53.33,73.33,80.0,93.33,100.0
08_ForStep.sb,18,38.89,72.22,72.22,88.89,100.0
09_While.sb,24,50.0,70.83,79.17,95.83,100.0
10_GraphicWindow.sb,5,0.0,40.0,80.0,100.0,100.0
11_GraphicWindowConfig.sb,25,12.0,76.0,92.0,100.0,100.0
12_DrawLine.sb,34,55.88,91.18,100.0,100.0,100.0
13_LineColor.sb,44,47.73,88.64,100.0,100.0,100.0
14_LineThickness.sb,49,42.86,87.76,100.0,100.0,100.0
15_Rectangle.sb,44,47.73,88.64,100.0,100.0,100.0
16_Ellipse.sb,44,47.73,88.64,100.0,100.0,100.0
17_Circle.sb,44,47.73,88.64,100.0,100.0,100.0
18_Random.sb,54,42.59,77.78,87.04,96.3,100.0
19_Fractal.sb,103,55.34,87.38,93.2,96.12,100.0
20_Subroutine.sb,40,32.5,67.5,87.5,92.5,100.0
21_Array.sb,58,39.66,79.31,89.66,96.55,100.0
22_ArrayIndex.sb,90,21.11,58.89,84.44,88.89,100.0
23_MultiDimArray.sb,95,29.47,73.68,88.42,97.89,100.0
24_Event.sb,43,46.51,81.4,90.7,100.0,100.0
25_Events.sb,62,37.1,74.19,87.1,98.39,100.0
26_Flickr.sb,38,50.0,92.11,100.0,100.0,100.0
27_FlickrRepeat.sb,32,65.62,84.38,90.62,96.88,100.0
