File Name,Total,Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
php-8-objects-patterns-practice-main_test_BaseUnit.php,132,132,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch08_Batch01Test.php,188,187,99.47,1,0.53,0,0.0
php-8-objects-patterns-practice-main_test_ch08_Batch03Test.php,127,126,99.21,1,0.79,0,0.0
php-8-objects-patterns-practice-main_test_ch08_Batch02Test.php,248,247,99.6,1,0.4,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch11Test.php,113,112,99.12,1,0.88,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch07Test.php,92,91,98.91,1,1.09,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch12Test.php,164,163,99.39,1,0.61,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch01Test.php,199,198,99.5,1,0.5,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch09Test.php,121,117,96.69,4,3.31,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch03Test.php,74,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch05Test.php,119,118,99.16,1,0.84,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch04Test.php,98,97,98.98,1,1.02,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch02Test.php,91,90,98.9,1,1.1,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch06Test.php,122,121,99.18,1,0.82,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch08Test.php,139,138,99.28,1,0.72,0,0.0
php-8-objects-patterns-practice-main_test_ch11_Batch10Test.php,148,147,99.32,1,0.68,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch11Test.php,162,161,99.38,1,0.62,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch13Test.php,76,75,98.68,1,1.32,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch07Test.php,127,126,99.21,1,0.79,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch12Test.php,153,152,99.35,1,0.65,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch01Test.php,76,75,98.68,1,1.32,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch09Test.php,87,86,98.85,1,1.15,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch14_1Test.php,136,135,99.26,1,0.74,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch14Test.php,319,318,99.69,1,0.31,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch15Test.php,508,507,99.8,1,0.2,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch03Test.php,252,251,99.6,1,0.4,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch05Test.php,85,84,98.82,1,1.18,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch04Test.php,82,81,98.78,1,1.22,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch02Test.php,87,86,98.85,1,1.15,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch06Test.php,83,82,98.8,1,1.2,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch08Test.php,87,86,98.85,1,1.15,0,0.0
php-8-objects-patterns-practice-main_test_ch09_Batch10Test.php,87,86,98.85,1,1.15,0,0.0
php-8-objects-patterns-practice-main_test_ch06_Batch01Test.php,196,194,98.98,2,1.02,0,0.0
php-8-objects-patterns-practice-main_test_ch06_Batch03Test.php,457,454,99.34,3,0.66,0,0.0
php-8-objects-patterns-practice-main_test_ch06_Batch02Test.php,127,126,99.21,1,0.79,0,0.0
php-8-objects-patterns-practice-main_test_ch24_Batch01Test.php,1932,1931,99.95,1,0.05,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch01and02Test.php,86,85,98.84,1,1.16,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch07Test.php,334,333,99.7,1,0.3,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch09Test.php,338,337,99.7,1,0.3,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch03Test.php,76,75,98.68,1,1.32,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch05Test.php,678,677,99.85,1,0.15,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch04Test.php,907,899,99.12,8,0.88,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch06Test.php,75,74,98.67,1,1.33,0,0.0
php-8-objects-patterns-practice-main_test_ch05_Batch08Test.php,86,85,98.84,1,1.16,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch11Test.php,233,232,99.57,1,0.43,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_1Test.php,77,76,98.7,1,1.3,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch13Test.php,59,58,98.31,1,1.69,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_6Test.php,75,74,98.67,1,1.33,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch07Test.php,180,179,99.44,1,0.56,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch12Test.php,62,61,98.39,1,1.61,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch23Test.php,142,141,99.3,1,0.7,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch01Test.php,118,117,99.15,1,0.85,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_5Test.php,77,76,98.7,1,1.3,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch18Test.php,131,130,99.24,1,0.76,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch17Test.php,74,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_4Test.php,75,74,98.67,1,1.33,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch09Test.php,220,219,99.55,1,0.45,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch21Test.php,110,109,99.09,1,0.91,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_8Test.php,75,74,98.67,1,1.33,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch14Test.php,75,74,98.67,1,1.33,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch19Test.php,141,140,99.29,1,0.71,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch15Test.php,114,113,99.12,1,0.88,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch16Test.php,142,141,99.3,1,0.7,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_9Test.php,98,97,98.98,1,1.02,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_7Test.php,75,74,98.67,1,1.33,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch03Test.php,163,162,99.39,1,0.61,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_3Test.php,96,95,98.96,1,1.04,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch05Test.php,387,378,97.67,9,2.33,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch20Test.php,95,94,98.95,1,1.05,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch02Test.php,201,200,99.5,1,0.5,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06_2Test.php,79,78,98.73,1,1.27,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch06Test.php,98,97,98.98,1,1.02,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch08Test.php,309,308,99.68,1,0.32,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch22Test.php,138,137,99.28,1,0.72,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch24Test.php,148,147,99.32,1,0.68,0,0.0
php-8-objects-patterns-practice-main_test_ch04_Batch10Test.php,263,262,99.62,1,0.38,0,0.0
php-8-objects-patterns-practice-main_test_ch18_Batch01Test.php,143,142,99.3,1,0.7,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch07Test.php,103,102,99.03,1,0.97,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch01Test.php,141,140,99.29,1,0.71,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch03Test.php,254,253,99.61,1,0.39,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch05Test.php,221,220,99.55,1,0.45,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch04Test.php,296,295,99.66,1,0.34,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch02Test.php,103,102,99.03,1,0.97,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch06Test.php,166,165,99.4,1,0.6,0,0.0
php-8-objects-patterns-practice-main_test_ch10_Batch08Test.php,140,139,99.29,1,0.71,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch11Test.php,95,94,98.95,1,1.05,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch07Test.php,101,100,99.01,1,0.99,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch01Test.php,74,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_test_ch12_fallback.php,1,0,0.0,1,100.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_error.php,1,0,0.0,1,100.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_main.php,1,0,0.0,1,100.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_TestCommandBatch05.php,51,51,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch03Test.php,74,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch05Test.php,569,568,99.82,1,0.18,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch04Test.php,200,199,99.5,1,0.5,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch02Test.php,110,109,99.09,1,0.91,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch06Test.php,1137,1136,99.91,1,0.09,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch08Test.php,254,250,98.43,4,1.57,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch10Test.php,169,168,99.41,1,0.59,0,0.0
php-8-objects-patterns-practice-main_test_ch12_TestCommandBatch06.php,56,56,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch15_Batch01Test.php,171,169,98.83,2,1.17,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch11Test.php,554,549,99.1,5,0.9,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch04_1Test.php,169,167,98.82,2,1.18,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch13Test.php,247,244,98.79,3,1.21,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch07Test.php,258,256,99.22,2,0.78,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch12Test.php,291,288,98.97,3,1.03,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch01Test.php,108,108,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch09Test.php,394,388,98.48,6,1.52,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch04_2Test.php,413,410,99.27,3,0.73,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch14Test.php,519,514,99.04,5,0.96,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch15Test.php,416,411,98.8,5,1.2,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch03Test.php,173,172,99.42,1,0.58,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch05Test.php,189,188,99.47,1,0.53,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch04Test.php,169,167,98.82,2,1.18,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch02Test.php,274,273,99.64,1,0.36,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch06Test.php,398,397,99.75,1,0.25,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch08Test.php,254,252,99.21,2,0.79,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch10Test.php,405,404,99.75,1,0.25,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch07Test.php,286,285,99.65,1,0.35,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch01Test.php,383,382,99.74,1,0.26,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch03Test.php,120,119,99.17,1,0.83,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch05Test.php,109,108,99.08,1,0.92,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch04Test.php,472,471,99.79,1,0.21,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch02Test.php,176,175,99.43,1,0.57,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch06Test.php,74,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch03_Lesson.php,138,138,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_FixedCostStrategy.php,50,50,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_TextNotifier.php,42,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Seminar.php,23,23,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Notifier.php,71,71,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_TimedCostStrategy.php,59,59,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_CostStrategy.php,41,41,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Runner.php,180,178,98.89,2,1.11,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_RegistrationMgr.php,61,61,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_MailNotifier.php,42,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Lesson.php,96,96,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Lecture.php,22,22,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Seminar.php,31,31,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Runner.php,118,116,98.31,2,1.69,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Lesson.php,168,168,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch01_Lecture.php,31,31,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch04_Preferences.php,133,133,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch04_Runner.php,83,83,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_ShopProduct.php,498,496,99.6,2,0.4,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_CluedUp.php,41,40,97.56,1,2.44,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_Minion.php,41,40,97.56,1,2.44,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_Runner.php,102,102,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_NastyBoss.php,88,88,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_Employee.php,117,117,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch03_WellConnected.php,42,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch13_Runner.php,51,51,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch13_Settings.php,29,29,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch13_AppConfig.php,175,175,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_ObjectAssembler.php,595,595,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_Inject.php,32,32,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_AppointmentMaker.php,78,78,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_Runner.php,157,157,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_InjectConstructor.php,33,32,96.97,1,3.03,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_TerrainFactory.php,131,129,98.47,2,1.53,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch15_AppointmentMaker2.php,66,66,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_CluedUp.php,42,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_Minion.php,41,40,97.56,1,2.44,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_Runner.php,99,99,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_NastyBoss.php,88,88,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch02_Employee.php,39,39,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_MarsForest.php,21,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_EarthForest.php,21,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_MarsSea.php,21,21,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_Forest.php,19,18,94.74,1,5.26,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch11_Sea.php,19,18,94.74,1,5.26,0,0.0
