File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
php-8-objects-patterns-practice-main_test_ch12_fallback.php,1,0.0,0.0,0.0,0.0,0.0,0,0.0,1,100.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_error.php,1,0.0,0.0,0.0,0.0,0.0,0,0.0,1,100.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_main.php,1,0.0,0.0,0.0,0.0,0.0,0,0.0,1,100.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_TestCommandBatch05.php,51,64.71,88.24,90.2,96.08,100.0,51,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch03Test.php,74,56.76,81.08,87.84,94.59,97.3,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch05Test.php,569,50.09,79.44,87.35,96.49,99.65,568,99.82,1,0.18,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch04Test.php,200,54.5,77.0,79.5,93.0,99.0,199,99.5,1,0.5,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch02Test.php,110,56.36,81.82,86.36,94.55,98.18,109,99.09,1,0.91,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch06Test.php,1137,37.73,71.59,84.61,96.13,99.21,1136,99.91,1,0.09,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch08Test.php,254,47.24,73.62,83.07,93.7,96.85,250,98.43,4,1.57,0,0.0
php-8-objects-patterns-practice-main_test_ch12_Batch10Test.php,169,53.85,82.25,88.17,94.67,98.82,168,99.41,1,0.59,0,0.0
php-8-objects-patterns-practice-main_test_ch12_TestCommandBatch06.php,56,62.5,87.5,92.86,98.21,100.0,56,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch15_Batch01Test.php,171,49.71,74.85,83.63,93.57,97.66,169,98.83,2,1.17,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch11Test.php,554,46.39,73.1,80.32,94.77,97.83,549,99.1,5,0.9,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch04_1Test.php,169,50.89,73.96,79.29,94.08,98.22,167,98.82,2,1.18,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch13Test.php,247,51.82,76.92,83.4,95.14,97.17,244,98.79,3,1.21,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch07Test.php,258,52.33,75.97,81.78,95.35,98.84,256,99.22,2,0.78,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch12Test.php,291,51.2,75.26,80.76,95.19,97.59,288,98.97,3,1.03,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch01Test.php,108,60.19,82.41,89.81,96.3,99.07,108,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch09Test.php,394,44.67,73.35,78.93,93.91,96.7,388,98.48,6,1.52,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch04_2Test.php,413,49.39,71.19,76.51,92.74,97.82,410,99.27,3,0.73,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch14Test.php,519,48.75,73.03,79.96,93.83,97.3,514,99.04,5,0.96,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch15Test.php,416,49.76,74.52,81.49,94.71,97.36,411,98.8,5,1.2,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch03Test.php,173,53.76,80.35,84.39,96.53,99.42,172,99.42,1,0.58,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch05Test.php,189,47.09,78.84,83.6,96.3,99.47,188,99.47,1,0.53,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch04Test.php,169,50.89,73.96,79.29,94.08,98.22,167,98.82,2,1.18,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch02Test.php,274,43.8,71.53,75.18,96.72,99.64,273,99.64,1,0.36,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch06Test.php,398,43.47,77.39,83.42,96.98,99.75,397,99.75,1,0.25,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch08Test.php,254,54.33,75.98,82.28,94.49,98.82,252,99.21,2,0.79,0,0.0
php-8-objects-patterns-practice-main_test_ch03_Batch10Test.php,405,52.1,76.54,82.96,94.07,97.53,404,99.75,1,0.25,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch07Test.php,286,50.7,77.27,85.66,93.71,97.55,285,99.65,1,0.35,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch01Test.php,383,51.96,79.37,86.68,93.99,98.17,382,99.74,1,0.26,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch03Test.php,120,55.83,81.67,87.5,94.17,96.67,119,99.17,1,0.83,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch05Test.php,109,51.38,77.06,83.49,92.66,98.17,108,99.08,1,0.92,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch04Test.php,472,48.09,74.79,83.9,95.76,98.52,471,99.79,1,0.21,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch02Test.php,176,55.68,82.95,87.5,93.75,96.02,175,99.43,1,0.57,0,0.0
php-8-objects-patterns-practice-main_test_ch13_Batch06Test.php,74,56.76,81.08,87.84,94.59,97.3,73,98.65,1,1.35,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch03_Lesson.php,138,60.14,84.06,92.03,97.1,100.0,138,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_FixedCostStrategy.php,50,50.0,86.0,90.0,96.0,100.0,50,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_TextNotifier.php,42,61.9,83.33,85.71,95.24,95.24,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Seminar.php,23,69.57,78.26,95.65,100.0,100.0,23,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_Notifier.php,71,42.25,63.38,76.06,95.77,100.0,71,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch08_batch02_TimedCostStrategy.php,59,47.46,81.36,88.14,94.92,98.31,59,100.0,0,0.0,0,0.0
