Rank,Count,Share (%),Cumulative (%)
1,22975,51.95,51.95
2,7988,18.06,70.02
3,2750,6.22,76.24
4,2554,5.78,82.01
5,2065,4.67,86.68
6,1718,3.88,90.57
7,597,1.35,91.92
8,487,1.1,93.02
9,569,1.29,94.3
10,464,1.05,95.35
11,486,1.1,96.45
12,169,0.38,96.83
13,145,0.33,97.16
14,160,0.36,97.52
15,66,0.15,97.67
16,40,0.09,97.76
17,144,0.33,98.09
18,69,0.16,98.25
19,73,0.17,98.41
20,90,0.2,98.61
Out,613,1.39,-
