Location,Ground_Truth,State_List,Coverage_Result,Rank
2205,operator >>,[7448],NOT_FOUND,0
2214,>>,[4753],NOT_FOUND,0
2216,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 8388, 7991]",FOUND,1
2217,identifier,[2218],FOUND,1
2224,& _declarator,"[4513, 3920, 5283, 9742]",FOUND,1
2226,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2228,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2230,identifier,[2241],FOUND,1
2237,& _declarator,"[4513, 3920, 5283, 10445, 9942]",FOUND,1
2239,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2240,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2241,;,"[6315, 4505, 8470, 8469, 8388, 7991]",FOUND,9
2248,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
2255,identifier,[2028],FOUND,2
2262,& _declarator,"[4258, 3920, 6283, 11334]",FOUND,4
2264,operator <<,[7448],FOUND,3
2273,<<,[4753],FOUND,3
2275,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 8388, 7991]",FOUND,1
2276,identifier,[2218],FOUND,1
2283,& _declarator,"[4513, 3920, 5283, 9742]",FOUND,1
2285,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2288,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2290,const,[2241],FOUND,4
2296,identifier,"[3482, 2722]",FOUND,1
2303,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2305,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2306,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2307,;,"[6315, 4505, 8470, 8469, 8388, 7991]",FOUND,9
2312,private,"[3228, 3187, 583, 637]",FOUND,9
2319,:,"[10982, 11109]",FOUND,1
2325,field_declaration,"[3278, 583, 637]",FOUND,6
2360,field_declaration,"[3278, 583, 637]",FOUND,6
2391,field_declaration,"[3278, 583, 637]",FOUND,6
2413,primitive_type,"[3278, 583, 637]",FOUND,1
2420,identifier,"[4176, 3920, 7964]",FOUND,2
2424,;,"[8658, 7880]",FOUND,1
2431,primitive_type,"[3282, 583, 637]",FOUND,1
2438,identifier,"[4176, 3920, 7964]",FOUND,2
2447,;,"[8658, 7880]",FOUND,1
2450,},"[3282, 583, 637]",FOUND,2
2451,;,"[4770, 4569, 4867, 4859, 4714, 4304, 6284]",FOUND,3
2453,translation_unit_repeat1,"[747, 35, 34, 10785]",FOUND,6
2495,const,"[747, 35, 34, 10785]",FOUND,43
2501,identifier,"[3482, 4663, 2354, 2645]",FOUND,2
2509,identifier,"[4109, 3936, 6284, 8510, 8957]",FOUND,3
2510,( expression argument_list_repeat1 ),"[8213, 8018]",FOUND,19
2511,number_literal,[137],FOUND,6
2512,", expression","[6317, 6567]",FOUND,3
2514,number_literal,[1203],FOUND,2
2515,),"[6317, 6721, 9770]",FOUND,8
2516,;,"[7925, 10081, 10012]",FOUND,1
2523,identifier ::,"[516, 35, 34, 10785]",FOUND,5
2530,::,"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,2
2532,identifier,"[8873, 7676]",FOUND,1
2539,( parameter_declaration parameter_list_repeat1 ),"[1865, 4449, 4304, 6284, 10073, 5657, 7176, 8957]",FOUND,3
2540,primitive_type,"[6374, 1186, 2218]",FOUND,12
2547,identifier,"[8510, 8939, 9473, 4176, 3920, 5283, 9742]",FOUND,4
2548,", parameter_declaration","[8213, 8633, 9742]",FOUND,3
2550,primitive_type,[2241],FOUND,3
2557,identifier,"[4176, 3920, 5283, 10445, 9942]",FOUND,3
2558,),"[8213, 8633, 10445, 9942]",FOUND,1
2560,: field_initializer field_initializer_list_repeat1,"[6315, 4494, 8470, 8682, 8957]",FOUND,7
2562,identifier argument_list,[8262],FOUND,1
2566,( expression ),[9034],FOUND,1
2567,identifier,[1180],FOUND,1
2568,),"[3260, 6567, 10073]",FOUND,3
2569,", field_initializer","[7900, 10031, 9756, 10306]",FOUND,1
2571,identifier argument_list,[8258],FOUND,1
2580,( expression ),[9034],FOUND,1
2581,identifier,[1180],FOUND,1
2582,),"[3260, 6567, 10073]",FOUND,3
2583,{ },"[7900, 10031, 10070, 10033, 10306]",FOUND,2
2584,},[43],FOUND,4
2587,identifier ::,"[256, 750, 35, 34, 10785]",FOUND,5
2594,::,"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,2
2596,identifier,"[8873, 7676]",FOUND,1
2603,( parameter_declaration ),"[1865, 4449, 4304, 6284, 10073, 5657, 7176, 8957]",FOUND,8
2604,primitive_type,"[6374, 1186, 2218]",FOUND,12
2611,identifier,"[8510, 8939, 9473, 4176, 3920, 5283, 9742]",FOUND,4
2612,),"[8213, 8633, 9742]",FOUND,1
2614,: field_initializer field_initializer_list_repeat1,"[6311, 4494, 8470, 8682, 8957]",FOUND,7
2616,identifier argument_list,[8262],FOUND,1
2620,( expression ),[9034],FOUND,1
2621,identifier,[1180],FOUND,1
2622,),"[3260, 6567, 10073]",FOUND,3
2623,", field_initializer","[7900, 10031, 9756, 10306]",FOUND,1
2625,identifier argument_list,[8258],FOUND,1
2634,( expression ),[9034],FOUND,1
2635,number_literal,[1180],FOUND,3
2636,),"[6317, 6567]",FOUND,1
2637,{ },"[7900, 10031, 10070, 10033, 10306]",FOUND,2
2638,},[43],FOUND,4
2641,identifier ::,"[256, 750, 35, 34, 10785]",FOUND,5
2648,::,"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,2
2650,identifier,"[8873, 7676]",FOUND,1
2657,( ),"[1865, 4449, 4304, 6284, 10073, 5657, 7176, 8957]",FOUND,6
2658,),"[6374, 1186, 2218]",FOUND,2
2660,: field_initializer field_initializer_list_repeat1,"[3830, 3786, 5856, 7176, 6296, 4494, 8470, 8682, 8957]",FOUND,11
2662,identifier argument_list,[8262],FOUND,1
2666,( expression ),[9034],FOUND,1
2667,number_literal,[1180],FOUND,3
2668,),"[6317, 6567]",FOUND,1
2669,", field_initializer","[7900, 10031, 9756, 10306]",FOUND,1
2671,identifier argument_list,[8258],FOUND,1
2680,( expression ),[9034],FOUND,1
2681,number_literal,[1180],FOUND,3
2682,),"[6317, 6567]",FOUND,1
2683,{ },"[7900, 10031, 10070, 10033, 10306]",FOUND,2
2684,},[43],FOUND,4
2686,translation_unit_repeat1,"[256, 750, 35, 34, 10785]",FOUND,6
2726,identifier,"[256, 750, 35, 34, 10785]",FOUND,4
2734,operator ==,"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,23
2743,==,[4753],FOUND,4
2745,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 8018]",FOUND,2
2746,const,[137],FOUND,5
2752,identifier,"[3482, 2722]",FOUND,1
2759,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2761,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2769,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2771,const,[2241],FOUND,4
2777,identifier,"[3482, 2722]",FOUND,1
2784,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2786,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2794,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2795,{ statement },"[6315, 4505, 8470, 8469, 8018]",FOUND,5
2802,return expression ;,[4],FOUND,5
2809,( expression ),[1185],FOUND,11
2810,identifier,[217],FOUND,1
2818,. identifier,"[1929, 4607, 7094, 10894, 10312]",FOUND,2
2819,identifier,[8090],FOUND,1
2824,== expression,"[5054, 5566, 4607]",FOUND,3
2827,identifier,"[1291, 10893]",FOUND,1
2835,. identifier,"[3537, 5034, 5492, 4607, 10312]",FOUND,2
2836,identifier,[8090],FOUND,1
2841,&& expression,"[5054, 5566, 5034, 5492, 4607]",FOUND,6
2844,identifier,"[1275, 10893]",FOUND,1
2852,. identifier,"[3537, 5113, 5492, 4607, 10312]",FOUND,2
2853,identifier,[8090],FOUND,1
2863,== expression,"[5054, 5566, 5113, 5492, 4607]",FOUND,3
2866,identifier,[1505],FOUND,1
2874,. identifier,"[3537, 5034, 5492, 5113, 4607, 10312]",FOUND,2
2875,identifier,[8090],FOUND,1
2884,),"[5054, 5566, 5034, 5492, 5113, 4607]",FOUND,1
2885,;,"[3684, 5064, 6692]",FOUND,1
2888,},"[678, 550, 61]",FOUND,2
2891,identifier,"[253, 745, 35, 34, 10785]",FOUND,4
2899,operator +,"[1082, 4304, 6284, 7176, 8957, 10073]",NOT_FOUND,0
2908,+,[4753],FOUND,10
2909,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 8018]",FOUND,2
2910,const,[137],FOUND,5
2916,identifier,"[3482, 2722]",FOUND,1
2923,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2925,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2933,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2935,const,[2241],FOUND,4
2941,identifier,"[3482, 2722]",FOUND,1
2948,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2950,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2958,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2959,{ preproc_if_repeat1 },"[6315, 4505, 8470, 8469, 8018]",FOUND,1
2966,identifier,[4],FOUND,2
2974,identifier,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,1
2980,;,"[8213, 7972]",FOUND,2
2987,identifier,"[685, 61]",FOUND,1
2993,. identifier,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,5
2994,identifier,[8043],FOUND,1
2999,= expression,"[3618, 5064, 6753]",FOUND,7
3001,identifier,[1222],FOUND,1
3009,. identifier,"[3260, 6387, 5900, 6753, 10073]",FOUND,5
3010,identifier,[8043],FOUND,1
