File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
pcc_chapter_17_python_repos_visual.py,276,38.77,67.39,83.7,91.3,97.46,274,99.28,2,0.72,0,0.0
pcc_chapter_17_hn_article.py,53,50.94,75.47,86.79,92.45,96.23,53,100.0,0,0.0,0,0.0
pcc_chapter_17_python_repos.py,220,42.27,67.73,78.64,85.45,92.73,218,99.09,2,0.91,0,0.0
pcc_chapter_17_hn_submissions.py,204,44.12,69.61,81.86,88.24,94.61,204,100.0,0,0.0,0,0.0
pcc_chapter_17_partial_programs_python_repos_2_examine_first_repo.py,222,41.89,70.72,78.38,86.04,93.69,220,99.1,2,0.9,0,0.0
pcc_chapter_17_partial_programs_python_repos_visual_4_custom_marker_colors.py,276,38.77,67.39,83.7,91.3,97.46,274,99.28,2,0.72,0,0.0
pcc_chapter_17_partial_programs_python_repos_visual_0_first_version.py,141,40.43,65.96,80.14,89.36,95.04,139,98.58,2,1.42,0,0.0
pcc_chapter_17_partial_programs_python_repos_0_first_version.py,64,43.75,73.44,84.38,89.06,96.88,64,100.0,0,0.0,0,0.0
pcc_chapter_17_partial_programs_hn_article.py,53,50.94,75.47,86.79,92.45,96.23,53,100.0,0,0.0,0,0.0
pcc_chapter_17_partial_programs_python_repos_visual_3_clickable_links.py,262,39.31,67.94,83.97,91.6,97.33,260,99.24,2,0.76,0,0.0
pcc_chapter_17_partial_programs_hn_submissions.py,204,44.12,69.61,81.86,88.24,94.61,204,100.0,0,0.0,0,0.0
pcc_chapter_17_partial_programs_python_repos_visual_1_styling_chart.py,189,41.8,67.72,83.6,91.01,96.3,187,98.94,2,1.06,0,0.0
pcc_chapter_17_partial_programs_python_repos_visual_2_custom_tooltips.py,237,40.08,67.51,83.54,91.14,97.47,235,99.16,2,0.84,0,0.0
pcc_chapter_17_partial_programs_python_repos_3_summarizing_top_repos.py,227,41.85,67.4,78.41,85.02,92.51,225,99.12,2,0.88,0,0.0
pcc_chapter_17_partial_programs_python_repos_1_working_with_response_dict.py,141,42.55,68.79,78.72,86.52,92.91,139,98.58,2,1.42,0,0.0
pcc_chapter_07_greeter.py,28,35.71,67.86,82.14,89.29,96.43,28,100.0,0,0.0,0,0.0
pcc_chapter_07_rollercoaster.py,35,37.14,62.86,77.14,80.0,91.43,35,100.0,0,0.0,0,0.0
pcc_chapter_07_counting.py,23,34.78,47.83,65.22,69.57,86.96,23,100.0,0,0.0,0,0.0
pcc_chapter_07_cities.py,45,35.56,64.44,80.0,88.89,91.11,45,100.0,0,0.0,0,0.0
pcc_chapter_07_mountain_poll.py,87,33.33,67.82,77.01,81.61,90.8,87,100.0,0,0.0,0,0.0
pcc_chapter_07_parrot.py,40,35.0,60.0,77.5,85.0,90.0,40,100.0,0,0.0,0,0.0
pcc_chapter_07_even_or_odd.py,45,40.0,60.0,82.22,84.44,91.11,45,100.0,0,0.0,0,0.0
pcc_chapter_07_pets.py,54,31.48,79.63,85.19,90.74,92.59,53,98.15,1,1.85,0,0.0
pcc_chapter_07_confirmed_users.py,71,35.21,66.2,78.87,84.51,90.14,71,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_counting_2_infinite_loop.py,12,25.0,41.67,58.33,66.67,83.33,12,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_parrot_2_while_loop_if_test.py,40,32.5,65.0,72.5,80.0,95.0,40,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_parrot_0_first_version.py,12,41.67,83.33,83.33,91.67,91.67,12,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_parrot_3_while_loop_flag.py,40,35.0,60.0,77.5,85.0,90.0,40,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_greeter_0_first_version.py,19,36.84,73.68,84.21,89.47,94.74,19,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_counting_0_first_version.py,15,26.67,46.67,60.0,66.67,86.67,15,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_rollercoaster.py,35,37.14,62.86,77.14,80.0,91.43,35,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_parrot_1_while_loop.py,33,33.33,60.61,69.7,78.79,90.91,33,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_counting_1_using_continue.py,23,34.78,47.83,65.22,69.57,86.96,23,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_greeter_1_longer_prompt.py,28,35.71,67.86,82.14,89.29,96.43,28,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_cities.py,45,35.56,64.44,80.0,88.89,91.11,45,100.0,0,0.0,0,0.0
pcc_chapter_07_partial_programs_mountain_poll.py,87,33.33,67.82,77.01,81.61,90.8,87,100.0,0,0.0,0,0.0
