File Name,Total,Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_17_sort.c,1905,1898,99.63,7,0.37,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_03_strcat.c,102,102,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_06_atoi.c,108,108,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_06_reverse.c,108,108,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_06_getop.c,209,209,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_06_itoa.c,184,184,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_06_getline.c,83,83,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_06_strindex.c,145,145,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_16_sort.c,1192,1187,99.58,5,0.42,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_15_sort.c,1068,1063,99.53,5,0.47,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_19_undcl.c,729,719,98.63,10,1.37,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_09_date_conversion_pointers.c,546,546,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_14_sort.c,1040,1035,99.52,5,0.48,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_04_squeeze.c,165,165,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_02_loop.c,122,122,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_09_bitcount.c,174,174,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_08_rightrot.c,221,221,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_06_setbits.c,148,148,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_05_any.c,151,151,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_07_invert.c,119,119,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_03_htoi.c,365,365,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_01_types_ranges.c,251,251,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_2_exercise_2_10_lower.c,70,69,98.57,1,1.43,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_02_print.c,330,330,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_04_minscanf.c,429,421,98.14,8,1.86,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_05_calculator.c,375,375,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_08_print.c,291,291,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_06_compare.c,308,308,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_07_find.c,460,460,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_03_minprintf.c,377,375,99.47,2,0.53,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_09_isupper.c,146,146,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_7_exercise_7_01_case.c,202,202,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_3_exercise_3_03_expand.c,366,366,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_3_exercise_3_05_itob.c,348,347,99.71,1,0.29,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_3_exercise_3_01_binsearch.c,554,554,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_3_exercise_3_06_itoa.c,319,317,99.37,2,0.63,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_3_exercise_3_04_itoa.c,250,249,99.6,1,0.4,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_3_exercise_3_02_escape.c,893,893,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_07_ungets.c,294,294,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_05_math.c,890,890,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_10_calculator.c,1103,1103,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_02_atof.c,449,449,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_03_calculator.c,641,641,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_08_getch.c,132,132,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_11_getop.c,575,575,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_12_itoa.c,167,167,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_01_strindex.c,291,291,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_09_getch.c,130,130,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_06_variables.c,1035,1035,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_13_reverse.c,118,118,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_04_stack.c,825,825,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_4_exercise_4_14_swap.c,66,66,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_02_syscalls.c,704,701,99.57,3,0.43,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_04_syscalls.c,1162,1159,99.74,3,0.26,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_05_fsize.c,904,904,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_03_syscalls.c,1057,1054,99.72,3,0.28,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_08_bfree.c,947,946,99.89,1,0.11,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_07_malloc_free.c,843,842,99.88,1,0.12,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_06_calloc.c,771,770,99.87,1,0.13,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_8_exercise_8_01_cat.c,247,246,99.6,1,0.4,0,0.0
