File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_20_detab.c,76,55.26,76.32,82.89,92.11,97.37,76,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_13_histogram.c,397,52.14,75.31,84.38,94.71,98.74,397,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_09_copy_io.c,62,51.61,75.81,85.48,93.55,98.39,62,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_08_count_b_t_n.c,104,47.12,76.92,87.5,94.23,97.12,104,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_06_verify_expression.c,26,53.85,84.62,92.31,92.31,96.15,26,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_16_longest_line.c,284,52.46,79.93,87.68,95.77,98.94,284,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_14_frequency_histogram.c,232,52.16,71.55,83.62,93.53,99.14,232,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_23_c_remove_comments.c,421,52.02,77.67,85.51,96.44,99.76,421,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_04_celsius_fahrenheit.c,103,41.75,81.55,88.35,96.12,99.03,103,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_15_temperature_conversion.c,121,42.98,81.82,90.91,94.21,98.35,121,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_12_copy_io_nl.c,94,53.19,74.47,88.3,95.74,100.0,94,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_03_fahrenheit_celsius.c,106,41.51,80.19,87.74,95.28,99.06,106,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_19_reverse.c,326,51.23,77.61,84.66,93.25,98.16,326,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_01_hello_world.c,21,47.62,85.71,100.0,100.0,100.0,21,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_05_celsius_fahrenheit.c,103,40.78,80.58,86.41,97.09,99.03,103,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_21_entab.c,125,52.8,79.2,85.6,90.4,94.4,125,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_11_word_count_test.c,138,50.0,76.81,84.06,94.93,97.83,138,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_24_check_syntax.c,664,50.9,75.6,87.95,96.23,98.95,664,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_18_trailing_blanks.c,241,53.53,78.84,85.48,95.85,99.59,241,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_10_copy_io_esc_replace.c,112,47.32,75.0,87.5,94.64,100.0,112,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_22_fold_line.c,402,50.75,78.36,86.82,96.52,99.75,402,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_07_print_eof.c,22,63.64,95.45,100.0,100.0,100.0,22,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_02_printf_argument.c,21,47.62,85.71,100.0,100.0,100.0,21,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_17_line_80.c,166,54.22,78.31,84.94,94.58,99.4,166,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_03_cross_referencer.c,1041,54.85,82.13,90.49,96.83,99.81,1041,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_02_var_group.c,1333,52.21,79.44,89.27,95.95,99.47,1333,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_06_define.c,1630,54.6,82.15,90.18,96.99,99.33,1630,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_04_words_frequency.c,1017,52.7,79.84,88.59,96.66,99.31,1014,99.71,3,0.29,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_01_count_c_keywords.c,1007,49.85,79.05,88.98,96.03,99.21,1006,99.9,1,0.1,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_05_undef.c,678,54.72,79.79,89.53,96.46,99.26,678,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_18_dcl.c,832,50.36,80.41,88.58,95.67,97.84,822,98.8,10,1.2,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_12_entab.c,543,53.04,75.87,82.5,93.19,97.05,541,99.63,2,0.37,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_12_detab.c,527,52.94,75.71,82.73,93.74,97.34,525,99.62,2,0.38,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_01_getint.c,440,50.23,74.55,85.45,95.45,98.86,439,99.77,1,0.23,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_04_strend.c,171,50.29,77.78,85.38,94.74,98.83,171,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_13_tail.c,684,52.34,78.65,85.82,95.61,99.27,682,99.71,2,0.29,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_20_dcl.c,1447,51.07,80.65,88.67,95.02,97.72,1435,99.17,12,0.83,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_11_entab.c,371,53.37,77.36,84.37,92.45,96.77,369,99.46,2,0.54,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_11_detab.c,344,52.91,76.16,83.72,92.44,97.09,342,99.42,2,0.58,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_10_expr.c,415,48.67,73.73,84.82,94.94,98.31,414,99.76,1,0.24,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_05_strncat.c,120,50.83,80.0,89.17,95.83,100.0,120,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_05_strncpy.c,98,54.08,81.63,91.84,97.96,98.98,98,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_05_strncmp.c,177,49.72,75.71,86.44,93.79,98.87,177,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_07_readlines.c,609,52.87,80.3,86.54,95.24,99.34,609,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_08_date_conversion.c,532,53.38,80.64,87.41,95.3,98.31,532,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_02_getfloat.c,383,49.09,73.37,85.12,93.99,98.96,382,99.74,1,0.26,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_5_exercise_5_17_sort.c,1905,51.86,76.8,84.3,95.01,98.16,1898,99.63,7,0.37,0,0.0
