File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
Programming-in-Haskell_compiler2.hs,148,34.46,74.32,85.14,99.32,100.0,148,100.0,0,0.0,0,0.0
Programming-in-Haskell_compiler.hs,155,36.77,74.84,85.16,97.42,100.0,155,100.0,0,0.0,0,0.0
Programming-in-Haskell_cipher.hs,405,26.91,64.69,78.77,95.56,98.77,405,100.0,0,0.0,0,0.0
Programming-in-Haskell_countdown2.hs,1183,27.56,64.58,83.69,96.03,99.66,1183,100.0,0,0.0,0,0.0
Programming-in-Haskell_primes.hs,46,32.61,65.22,76.09,93.48,100.0,46,100.0,0,0.0,0,0.0
Programming-in-Haskell_hangman.hs,137,37.23,64.96,81.02,94.89,99.27,136,99.27,1,0.73,0,0.0
Programming-in-Haskell_machine.hs,114,35.09,72.81,85.96,98.25,100.0,114,100.0,0,0.0,0,0.0
Programming-in-Haskell_nim.hs,328,33.84,65.24,82.62,93.29,98.48,328,100.0,0,0.0,0,0.0
Programming-in-Haskell_voting.hs,293,24.23,62.8,88.05,98.98,99.66,293,100.0,0,0.0,0,0.0
Programming-in-Haskell_tautology.hs,414,30.68,70.29,87.68,95.41,100.0,414,100.0,0,0.0,0,0.0
Programming-in-Haskell_tictactoe.hs,1141,29.36,62.14,80.54,94.57,99.65,1141,100.0,0,0.0,0,0.0
Programming-in-Haskell_relabel.hs,364,33.24,66.76,84.89,95.33,98.9,364,100.0,0,0.0,0,0.0
Programming-in-Haskell_expression.hs,114,35.96,67.54,84.21,97.37,100.0,114,100.0,0,0.0,0,0.0
Programming-in-Haskell_countdown.hs,1011,30.76,64.99,83.48,96.44,99.7,1011,100.0,0,0.0,0,0.0
Programming-in-Haskell_Parsing.hs,522,33.52,65.33,81.61,95.59,99.43,522,100.0,0,0.0,0,0.0
Programming-in-Haskell_transmit.hs,170,30.0,72.35,88.82,93.53,99.41,170,100.0,0,0.0,0,0.0
Programming-in-Haskell_calculator.hs,510,28.82,64.51,84.71,96.67,99.8,510,100.0,0,0.0,0,0.0
Programming-in-Haskell_life.hs,479,27.56,65.14,81.42,95.2,99.79,479,100.0,0,0.0,0,0.0
LPFP_VisDisplay.hs,26,30.77,65.38,84.62,96.15,100.0,26,100.0,0,0.0,0,0.0
LPFP_MakeTrajectoryGraph.hs,143,29.37,63.64,76.92,89.51,98.6,141,98.6,2,1.4,0,0.0
LPFP_Newton2.hs,1217,25.06,51.93,79.62,91.45,97.45,1216,99.92,1,0.08,0,0.0
LPFP_Electricity.hs,483,25.47,54.24,71.64,86.13,95.24,478,98.96,5,1.04,0,0.0
LPFP_hello.hs,143,29.37,63.64,76.92,89.51,98.6,141,98.6,2,1.4,0,0.0
LPFP_GlossBilliardAnimate.hs,31,32.26,70.97,80.65,90.32,96.77,31,100.0,0,0.0,0,0.0
LPFP_MultipleObjects.hs,978,33.64,70.04,85.69,94.58,99.39,977,99.9,1,0.1,0,0.0
LPFP_GlossSimulate.hs,136,27.21,56.62,81.62,94.12,99.26,136,100.0,0,0.0,0,0.0
LPFP_GlossProton.hs,28,28.57,64.29,82.14,92.86,96.43,28,100.0,0,0.0,0,0.0
LPFP_VisDisplay2.hs,74,14.86,31.08,43.24,86.49,100.0,74,100.0,0,0.0,0,0.0
LPFP_GlossBilliard.hs,37,32.43,72.97,83.78,91.89,100.0,37,100.0,0,0.0,0,0.0
LPFP_Maxwell.hs,2171,29.66,60.66,77.52,91.57,98.16,2171,100.0,0,0.0,0,0.0
LPFP_ProtonEB.hs,78,35.9,57.69,62.82,71.79,94.87,78,100.0,0,0.0,0,0.0
LPFP_GlossAnimate.hs,104,25.96,60.58,82.69,89.42,95.19,103,99.04,1,0.96,0,0.0
LPFP_VisDisplay3.hs,98,17.35,38.78,53.06,86.73,100.0,98,100.0,0,0.0,0,0.0
LPFP_GlossDisplay2.hs,91,23.08,54.95,79.12,91.21,100.0,91,100.0,0,0.0,0,0.0
LPFP_GlossProjectile.hs,135,35.56,76.3,86.67,95.56,98.52,135,100.0,0,0.0,0,0.0
LPFP_ElectricWave.hs,67,32.84,62.69,77.61,88.06,98.51,67,100.0,0,0.0,0,0.0
LPFP_MOExamples.hs,2119,27.61,60.36,78.1,89.24,96.89,2109,99.53,10,0.47,0,0.0
LPFP_GnuplotWave.hs,198,26.77,60.61,77.27,89.9,99.49,198,100.0,0,0.0,0,0.0
LPFP_Lists.hs,361,27.98,62.05,79.22,91.69,98.06,360,99.72,1,0.28,0,0.0
LPFP_Hydrogen.hs,127,40.94,63.78,74.8,80.31,96.85,127,100.0,0,0.0,0,0.0
LPFP_GlossDisplay.hs,77,10.39,35.06,72.73,96.1,100.0,77,100.0,0,0.0,0,0.0
LPFP_Mechanics3D.hs,2912,30.25,59.58,75.86,89.35,98.15,2909,99.9,3,0.1,0,0.0
LPFP_VisTwoSprings.hs,158,28.48,68.35,77.22,93.67,98.73,158,100.0,0,0.0,0,0.0
LPFP_Integrals.hs,1289,34.45,67.8,80.14,94.88,99.38,1289,100.0,0,0.0,0,0.0
LPFP_GlossSimulate2.hs,186,27.42,54.3,77.96,94.62,98.39,185,99.46,1,0.54,0,0.0
LPFP_Geometry.hs,814,35.63,61.79,81.2,88.57,98.65,814,100.0,0,0.0,0,0.0
LPFP_VisAnimate.hs,59,25.42,69.49,83.05,89.83,100.0,59,100.0,0,0.0,0,0.0
LPFP_Mech3Proton.hs,24,29.17,70.83,87.5,91.67,100.0,24,100.0,0,0.0,0,0.0
LPFP_Lorentz.hs,945,40.11,66.46,80.0,94.07,98.73,945,100.0,0,0.0,0,0.0
LPFP_SimpleVec.hs,1160,35.43,66.64,84.31,91.55,98.53,1160,100.0,0,0.0,0,0.0
LPFP_VisSimulate.hs,96,21.88,58.33,78.12,92.71,100.0,96,100.0,0,0.0,0,0.0
LPFP_GlossWave.hs,139,33.09,72.66,82.73,92.81,98.56,139,100.0,0,0.0,0,0.0
LPFP_CoordinateSystems.hs,1982,30.17,58.98,78.36,92.68,98.23,1975,99.65,7,0.35,0,0.0
LPFP_Mechanics1D.hs,1604,25.81,55.05,76.18,92.46,97.63,1598,99.63,6,0.37,0,0.0
LPFP_MagneticField.hs,768,35.29,63.02,79.56,88.28,95.44,768,100.0,0,0.0,0,0.0
LPFP_VisProjectile.hs,116,31.9,74.14,87.07,94.83,98.28,116,100.0,0,0.0,0,0.0
LPFP_ElectricField.hs,2366,35.21,65.68,80.39,92.6,98.06,2364,99.92,2,0.08,0,0.0
LPFP_Current.hs,594,32.49,64.98,84.85,93.43,97.14,591,99.49,3,0.51,0,0.0
LPFP_GlossHalley.hs,136,34.56,71.32,83.09,93.38,97.79,136,100.0,0,0.0,0,0.0
LPFP_PresentationPlotting.hs,625,22.08,48.0,70.72,90.56,96.64,624,99.84,1,0.16,0,0.0
LPFP_Charge.hs,744,33.33,70.3,85.35,93.68,99.33,744,100.0,0,0.0,0,0.0
LPFP_DescribingMotion.hs,362,38.67,71.27,88.12,93.65,98.07,362,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_Setup.hs,7,42.86,85.71,85.71,100.0,100.0,7,100.0,0,0.0,0,0.0
