File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
ruby5-code_code_trouble_profileeg1.rb,30,43.33,70.0,86.67,100.0,100.0,30,100.0,0,0.0,0,0.0
ruby5-code_code_trouble_profileeg.rb,44,40.91,65.91,81.82,88.64,93.18,44,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_accessor_2.rb,91,40.66,64.84,79.12,89.01,100.0,91,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_turtle.rb,242,30.58,56.61,64.46,78.93,90.91,242,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_top_level.rb,67,35.82,59.7,74.63,88.06,98.51,67,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_vanity_puts.rb,34,41.18,70.59,76.47,85.29,97.06,34,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_trace_calls_example.rb,66,39.39,63.64,75.76,89.39,95.45,66,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_open_struct_flaw.rb,165,30.3,61.21,73.94,83.64,95.76,165,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_logging_2.rb,87,33.33,63.22,79.31,89.66,96.55,87,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_logging_0.rb,56,44.64,66.07,80.36,89.29,94.64,56,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_accessor_3.rb,136,43.38,66.18,77.94,88.24,98.53,136,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_shipping.rb,146,36.99,67.12,69.86,86.99,94.52,146,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_open_struct.rb,173,32.95,61.27,72.83,84.39,95.95,173,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_trace_calls.rb,131,35.88,66.41,76.34,84.73,97.71,131,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_use_in_class.rb,27,44.44,62.96,74.07,85.19,96.3,27,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_use_in_file.rb,14,35.71,85.71,85.71,100.0,100.0,14,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_vanity2.rb,65,36.92,67.69,78.46,87.69,98.46,65,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_class_new.rb,34,29.41,64.71,85.29,94.12,97.06,34,100.0,0,0.0,0,0.0
ruby5-code_code_metaprogramming_module_lookup_test.rb,45,28.89,60.0,64.44,82.22,97.78,45,100.0,0,0.0,0,0.0
